timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency,IdleTime
1480464695784,939,Search Page CS,200,OK,JMeter SEARCH_TEST 3-8,text,true,,3835,1,1,939,0
1480464696724,79,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-8,text,true,,1849,1,1,79,0
1480464698176,76,Index Page,200,OK,JMeter SEARCH_TEST 3-9,text,true,,1503,1,1,76,0
1480464698253,518,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-9,text,true,,2727,1,1,517,0
1480464698771,307,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-9,text,true,,2223,1,1,307,0
1480464699078,89,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-9,text,true,,1849,1,1,84,0
1480464699168,936,Search Page CS,200,OK,JMeter SEARCH_TEST 3-9,text,true,,3835,1,1,935,0
1480464700104,78,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-9,text,true,,1849,1,1,78,0
1480464702174,72,Index Page,200,OK,JMeter SEARCH_TEST 3-10,text,true,,1503,1,1,72,0
1480464702247,518,Course Listing Page,200,OK,JMeter SEARCH_TEST 3-10,text,true,,2727,1,1,517,0
1480464702765,81,Search Page course keyword,200,OK,JMeter SEARCH_TEST 3-10,text,true,,1846,1,1,81,0
1480464702846,87,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-10,text,true,,1849,1,1,87,0
1480464702934,1061,Search Page CS,200,OK,JMeter SEARCH_TEST 3-10,text,true,,3835,1,1,1059,0
1480464703997,79,Search Page randomstring,200,OK,JMeter SEARCH_TEST 3-10,text,true,,1849,1,1,79,0
